Platform,Year_of_Release,Genre,Publisher,Rating,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count
Wii,2006.0,Sports,Nintendo,E,41.36,28.96,3.77,8.45,82.53,76.0,51.0,8.0,322.0
Wii,2008.0,Racing,Nintendo,E,15.68,12.76,3.79,3.29,35.52,82.0,73.0,8.3,709.0
Wii,2009.0,Sports,Nintendo,E,15.61,10.93,3.28,2.95,32.77,80.0,73.0,8.0,192.0
DS,2006.0,Platform,Nintendo,E,11.28,9.14,6.5,2.88,29.8,89.0,65.0,8.5,431.0
Wii,2006.0,Misc,Nintendo,E,13.96,9.18,2.93,2.84,28.92,58.0,41.0,6.6,129.0
Wii,2009.0,Platform,Nintendo,E,14.44,6.94,4.7,2.24,28.32,87.0,80.0,8.4,594.0
DS,2005.0,Racing,Nintendo,E,9.71,7.47,4.13,1.9,23.21,91.0,64.0,8.6,464.0
Wii,2007.0,Sports,Nintendo,E,8.92,8.03,3.6,2.15,22.7,80.0,63.0,7.7,146.0
X360,2010.0,Misc,Microsoft Game Studios,E,15.0,4.89,0.24,1.69,21.81,61.0,45.0,6.3,106.0
Wii,2009.0,Sports,Nintendo,E,9.01,8.49,2.53,1.77,21.79,80.0,33.0,7.4,52.0
PS3,2013.0,Action,Take-Two Interactive,M,7.02,9.09,0.98,3.96,21.04,97.0,50.0,8.2,3994.0
PS2,2004.0,Action,Take-Two Interactive,M,9.43,0.4,0.41,10.57,20.81,95.0,80.0,9.0,1588.0
DS,2005.0,Misc,Nintendo,E,4.74,9.2,4.16,2.04,20.15,77.0,58.0,7.9,50.0
X360,2013.0,Action,Take-Two Interactive,M,9.66,5.14,0.06,1.41,16.27,97.0,58.0,8.1,3711.0
PS2,2002.0,Action,Take-Two Interactive,M,8.41,5.49,0.47,1.78,16.15,95.0,62.0,8.7,730.0
DS,2005.0,Puzzle,Nintendo,E,3.43,5.35,5.32,1.18,15.29,77.0,37.0,7.1,19.0
PS2,2001.0,Racing,Sony Computer Entertainment,E,6.85,5.09,1.87,1.16,14.98,95.0,54.0,8.4,314.0
X360,2011.0,Shooter,Activision,M,9.04,4.24,0.13,1.32,14.73,88.0,81.0,3.4,8713.0
X360,2010.0,Shooter,Activision,M,9.7,3.68,0.11,1.13,14.61,87.0,89.0,6.3,1454.0
PS3,2012.0,Shooter,Activision,M,4.99,5.73,0.65,2.42,13.79,83.0,21.0,5.3,922.0
X360,2012.0,Shooter,Activision,M,8.25,4.24,0.07,1.12,13.67,83.0,73.0,4.8,2256.0
X360,2009.0,Shooter,Activision,M,8.52,3.59,0.08,1.28,13.47,94.0,100.0,6.3,2698.0
PS3,2011.0,Shooter,Activision,M,5.54,5.73,0.49,1.57,13.32,88.0,39.0,3.2,5234.0
PS2,2001.0,Action,Take-Two Interactive,M,6.99,4.51,0.3,1.3,13.1,97.0,56.0,8.5,664.0
Wii,2008.0,Fighting,Nintendo,T,6.62,2.55,2.66,1.01,12.84,93.0,81.0,8.9,1662.0
3DS,2011.0,Racing,Nintendo,E,5.03,4.02,2.69,0.91,12.66,85.0,73.0,8.2,632.0
PS3,2010.0,Shooter,Activision,M,5.99,4.37,0.48,1.79,12.63,88.0,58.0,6.4,1094.0
PS4,2014.0,Action,Take-Two Interactive,M,3.96,6.31,0.38,1.97,12.61,97.0,66.0,8.3,2899.0
DS,2005.0,Simulation,Nintendo,E,2.5,3.45,5.33,0.86,12.13,86.0,57.0,8.7,242.0
X360,2007.0,Shooter,Microsoft Game Studios,M,7.97,2.81,0.13,1.21,12.12,94.0,86.0,7.8,4100.0
PS2,2004.0,Racing,Sony Computer Entertainment,E,3.01,0.01,1.1,7.53,11.66,89.0,74.0,8.5,272.0
Wii,2007.0,Platform,Nintendo,E,6.06,3.35,1.2,0.74,11.35,97.0,73.0,8.9,2147.0
X360,2008.0,Action,Take-Two Interactive,M,6.76,3.07,0.14,1.03,11.01,98.0,86.0,7.9,2951.0
PS,1997.0,Racing,Sony Computer Entertainment,E,4.02,3.87,2.54,0.52,10.95,96.0,16.0,8.7,138.0
3DS,2011.0,Platform,Nintendo,E,4.89,3.0,2.14,0.78,10.81,90.0,82.0,8.4,921.0
PS3,2010.0,Racing,Sony Computer Entertainment,E,2.96,4.82,0.81,2.11,10.7,84.0,82.0,7.5,1112.0
PS3,2009.0,Shooter,Activision,M,4.99,3.64,0.38,1.6,10.6,94.0,67.0,6.3,2073.0
PS3,2008.0,Action,Take-Two Interactive,M,4.76,3.69,0.44,1.61,10.5,98.0,64.0,7.5,2833.0
X360,2013.0,Shooter,Activision,M,6.73,2.56,0.04,0.91,10.25,73.0,29.0,2.6,2117.0
Wii,2011.0,Misc,Ubisoft,E10+,5.95,3.11,0.0,1.06,10.12,74.0,15.0,7.8,16.0
3DS,2012.0,Platform,Nintendo,E,3.66,3.14,2.47,0.63,9.9,78.0,70.0,7.2,424.0
X360,2010.0,Shooter,Microsoft Game Studios,M,7.04,1.95,0.08,0.79,9.86,91.0,99.0,7.9,2045.0
PS,1997.0,Role-Playing,Sony Computer Entertainment,T,3.01,2.47,3.28,0.96,9.72,92.0,20.0,9.2,1282.0
X360,2012.0,Shooter,Microsoft Game Studios,M,6.65,2.28,0.04,0.74,9.71,87.0,87.0,7.0,3260.0
PS,1999.0,Racing,Sony Computer Entertainment,T,3.88,3.42,1.69,0.5,9.49,93.0,23.0,9.0,135.0
Wii,2010.0,Misc,Ubisoft,E10+,5.8,2.85,0.01,0.78,9.44,74.0,24.0,7.3,24.0
PS3,2013.0,Shooter,Activision,M,4.1,3.63,0.38,1.25,9.36,71.0,10.0,2.6,1047.0
X360,2007.0,Shooter,Activision,M,5.93,2.36,0.13,0.9,9.31,94.0,70.0,8.4,1320.0
3DS,2012.0,Simulation,Nintendo,E,2.03,2.36,4.39,0.39,9.16,88.0,70.0,8.7,626.0
DS,2007.0,Misc,Nintendo,E,4.4,1.85,1.98,0.68,8.91,72.0,27.0,7.8,85.0
X360,2011.0,Role-Playing,Bethesda Softworks,M,5.05,2.79,0.1,0.85,8.79,96.0,89.0,8.4,3589.0
PS4,2015.0,Sports,Electronic Arts,E,1.12,6.12,0.06,1.28,8.57,82.0,42.0,4.3,896.0
XB,2004.0,Shooter,Microsoft Game Studios,M,6.82,1.53,0.05,0.08,8.49,95.0,91.0,8.2,1218.0
Wii,2010.0,Misc,Nintendo,E,1.75,3.47,2.49,0.67,8.38,68.0,42.0,7.4,54.0
Wii,2007.0,Misc,Nintendo,E,3.74,2.24,1.58,0.7,8.27,62.0,41.0,6.3,190.0
PS3,2012.0,Action,Electronic Arts,E,1.06,5.01,0.13,1.97,8.16,88.0,37.0,6.6,348.0
PS2,2001.0,Role-Playing,Sony Computer Entertainment,T,2.91,2.07,2.73,0.33,8.05,92.0,53.0,8.7,1056.0
PC,2009.0,Simulation,Electronic Arts,T,0.99,6.42,0.0,0.6,8.01,86.0,75.0,7.6,886.0
PS,1999.0,Role-Playing,SquareSoft,T,2.28,1.72,3.63,0.23,7.86,90.0,24.0,8.6,644.0
DS,2008.0,Role-Playing,Nintendo,E,2.76,1.72,2.69,0.54,7.72,83.0,46.0,8.5,203.0
PSP,2005.0,Action,Take-Two Interactive,M,2.9,2.81,0.24,1.73,7.69,88.0,65.0,7.6,451.0
PS4,2014.0,Shooter,Activision,M,2.81,3.48,0.14,1.23,7.66,83.0,39.0,5.7,1443.0
PS4,2016.0,Sports,Electronic Arts,E,0.66,5.75,0.08,1.11,7.59,85.0,41.0,5.0,398.0
Wii,2010.0,Platform,Nintendo,E,3.56,2.35,0.98,0.62,7.51,97.0,87.0,9.1,1854.0
X360,2008.0,Shooter,Activision,M,4.81,1.88,0.0,0.69,7.38,84.0,84.0,7.6,580.0
X360,2011.0,Shooter,Electronic Arts,M,4.46,2.11,0.06,0.69,7.32,84.0,57.0,7.4,2142.0
PS2,2003.0,Racing,Electronic Arts,E,3.27,2.83,0.08,1.02,7.2,85.0,33.0,8.6,171.0
Wii,2009.0,Misc,Ubisoft,E10+,3.48,2.99,0.0,0.73,7.2,49.0,21.0,8.0,110.0
PS3,2011.0,Shooter,Electronic Arts,M,2.85,2.89,0.35,1.08,7.17,85.0,38.0,7.5,1761.0
PS4,2015.0,Role-Playing,Bethesda Softworks,M,2.53,3.27,0.24,1.13,7.16,87.0,58.0,6.5,4228.0
PS,1998.0,Fighting,Sony Computer Entertainment,T,3.27,2.22,1.4,0.29,7.16,96.0,15.0,9.1,367.0
Wii,2006.0,Action,Nintendo,T,3.74,2.14,0.6,0.68,7.15,95.0,73.0,9.0,1658.0
PS,1998.0,Platform,Sony Computer Entertainment,E,3.68,1.75,1.42,0.28,7.13,91.0,12.0,8.9,432.0
WiiU,2014.0,Racing,Nintendo,E,3.15,2.15,1.28,0.51,7.09,88.0,82.0,9.1,1599.0
GC,2001.0,Fighting,Nintendo,T,4.41,1.04,1.39,0.22,7.07,92.0,38.0,9.1,568.0
PS2,2004.0,Racing,Electronic Arts,E,2.71,3.02,0.08,1.09,6.9,82.0,39.0,8.6,132.0
PS2,2002.0,Shooter,Electronic Arts,T,2.93,2.75,0.17,0.99,6.83,88.0,29.0,8.5,135.0
Wii,2012.0,Misc,Ubisoft,E10+,4.05,2.16,0.0,0.55,6.76,74.0,10.0,7.3,28.0
X360,2008.0,Shooter,Microsoft Game Studios,M,4.15,1.9,0.06,0.64,6.75,93.0,90.0,7.7,2739.0
PS3,2011.0,Action,Sony Computer Entertainment,T,2.77,2.75,0.19,1.03,6.74,92.0,97.0,8.3,3712.0
PS3,2007.0,Shooter,Activision,M,3.11,2.26,0.28,1.03,6.68,94.0,44.0,8.4,993.0
PS3,2009.0,Action,Sony Computer Entertainment,T,3.27,2.2,0.21,0.98,6.66,96.0,105.0,8.8,5187.0
DS,2005.0,Misc,Nintendo,E,1.66,2.75,1.6,0.62,6.62,74.0,45.0,7.4,27.0
PS3,2010.0,Action,Take-Two Interactive,M,2.79,2.53,0.17,0.99,6.49,95.0,73.0,8.8,2456.0
PS3,2013.0,Sports,Electronic Arts,E,0.78,4.24,0.07,1.37,6.47,86.0,37.0,4.3,576.0
PS3,2012.0,Action,Ubisoft,M,2.64,2.52,0.16,1.12,6.45,85.0,41.0,6.9,1307.0
